Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
J25,22.500000mm,74.235000mm,Top,-90.0,22.500000mm,74.235000mm
M1,57.807486mm,1.234999mm,Top,0.0,57.807486mm,1.234999mm
M2,110.157486mm,82.135000mm,Top,-90.0,110.157486mm,82.135000mm
M3,75.457487mm,77.485000mm,Top,-90.0,75.457487mm,77.485000mm
M4,64.407487mm,77.485000mm,Top,-90.0,64.407487mm,77.485000mm
M5,132.607487mm,39.610000mm,Top,90.0,132.607487mm,39.610000mm
M6,112.682497mm,48.210000mm,Top,180.0,112.682497mm,48.210000mm
M7,63.807487mm,54.684998mm,Top,-90.0,63.807487mm,54.684998mm
P3,95.682487mm,2.510000mm,Top,0.0,95.682487mm,2.510000mm
P4,95.682487mm,7.510000mm,Top,0.0,95.682487mm,7.510000mm
P5,74.782487mm,46.010000mm,Top,0.0,74.782487mm,46.010000mm
P6,72.242487mm,46.010000mm,Top,0.0,72.242487mm,46.010000mm
P7,116.382487mm,24.010000mm,Top,0.0,116.382487mm,24.010000mm
P8,116.382487mm,19.310000mm,Top,0.0,116.382487mm,19.310000mm
P15,38.722487mm,11.510000mm,Top,0.0,38.722487mm,11.510000mm
P16,41.262487mm,11.510000mm,Top,0.0,41.262487mm,11.510000mm
P17,36.182487mm,11.510000mm,Top,0.0,36.182487mm,11.510000mm
P18,56.182487mm,11.010000mm,Top,0.0,56.182487mm,11.010000mm
R4,76.657096mm,4.579609mm,Top,-90.0,76.657096mm,4.579609mm
R9,49.907487mm,17.970000mm,Top,-90.0,49.907487mm,17.970000mm
R14,56.782487mm,8.410000mm,Top,-90.0,56.782487mm,8.410000mm
R35,95.370000mm,85.380000mm,Top,180.0,95.370000mm,85.380000mm
R36,100.370000mm,85.410000mm,Top,0.0,100.370000mm,85.410000mm
R37,65.670000mm,84.670000mm,Top,-90.0,65.670000mm,84.670000mm
R38,95.359979mm,87.280000mm,Top,0.0,95.359979mm,87.280000mm
R39,100.410000mm,87.520000mm,Top,180.0,100.410000mm,87.520000mm
R40,63.580000mm,84.700000mm,Top,90.0,63.580000mm,84.700000mm
U1,42.182487mm,17.510000mm,Top,0.0,42.182487mm,17.510000mm
U2,48.807487mm,8.050000mm,Top,0.0,48.807487mm,8.050000mm
U3,109.195737mm,64.010000mm,Top,-90.0,109.195737mm,64.010000mm
U5,125.832487mm,21.135000mm,Top,180.0,125.832487mm,21.135000mm
